lst,ndvi,ndbi,year,sat,zone,site,trat
294.7706448872523,0.1002836049364246,-0.010897645018957595,2023,L8,sitio,cyrusone,dc
300.1802630850832,0.09183925111247629,-0.005331720218168304,2023,L8,sitio,cyrusone,dc
311.91459750137767,0.09780187654748407,-0.005708772476519683,2023,L8,sitio,cyrusone,dc
315.69902314888503,0.09635188290382728,-0.005550969121362868,2023,L8,sitio,cyrusone,dc
322.692935582831,0.09924007099829131,-0.005541356085282542,2023,L8,sitio,cyrusone,dc
321.13809517230345,0.09662594849052676,-0.0023111906387119465,2023,L8,sitio,cyrusone,dc
322.04846742682423,0.09285135858283802,-0.0033418635419150268,2023,L8,sitio,cyrusone,dc
325.20234507641305,0.09546550450319807,-0.004896620595059946,2023,L8,sitio,cyrusone,dc
329.85576312443044,0.1029284720423791,-0.007738169128438756,2023,L8,sitio,cyrusone,dc
319.3034536297042,0.09911105359338172,-0.013520714967524624,2023,L8,sitio,cyrusone,dc
321.2812273298593,0.11254501764407553,-0.010648303049617964,2023,L8,sitio,cyrusone,dc
321.72476892978284,0.10400103126096985,-0.010925536502110943,2023,L8,sitio,cyrusone,dc
317.21929457104295,0.08999537559414887,-0.006240164011121872,2023,L8,sitio,cyrusone,dc
308.96068067025476,0.095514014633945,-0.006817318573603788,2023,L8,sitio,cyrusone,dc
304.19914623372296,0.09411384049327136,-0.0060945924317379555,2023,L8,sitio,cyrusone,dc
303.50038436667586,0.1114865405848826,-0.012046891130152304,2023,L8,sitio,cyrusone,dc
292.56286577397117,0.11664020524289742,-0.020404084427347605,2023,L8,sitio,cyrusone,dc
283.74124904896536,0.11428856800822043,-0.04870762738993864,2023,L8,sitio,cyrusone,dc
297.5968249542289,0.09924606531553858,-0.012194468910119874,2024,L8,sitio,cyrusone,dc
302.49398876766037,0.10093125473710395,-0.013476968585619342,2024,L8,sitio,cyrusone,dc
306.1560854393814,0.09159900250830456,-0.00955908661103934,2024,L8,sitio,cyrusone,dc
303.14656853305235,0.09291434895188762,-0.011845206045059082,2024,L8,sitio,cyrusone,dc
318.0880815487638,0.09538855189079319,-0.007854822038844243,2024,L8,sitio,cyrusone,dc
317.41902210617377,0.09699360694071109,-0.004741312082849347,2024,L8,sitio,cyrusone,dc
325.13240013468777,0.09758009149514979,-0.004557202550286022,2024,L8,sitio,cyrusone,dc
306.75179792880624,0.1463155259600746,-0.047739049365698005,2024,L8,sitio,cyrusone,dc
326.3888592676816,0.10044888548511746,-0.00386675939374222,2024,L8,sitio,cyrusone,dc
318.7163715878642,0.11682502963860518,-0.0076602265936939265,2024,L8,sitio,cyrusone,dc
323.69068213752064,0.10417303402255698,-0.008259478111664878,2024,L8,sitio,cyrusone,dc
320.0985643156398,0.10026735077946661,-0.00806809213943064,2024,L8,sitio,cyrusone,dc
321.1183019837317,0.10021576996721751,-0.007989060515659492,2024,L8,sitio,cyrusone,dc
313.74126389553413,0.09671539534917895,-0.005597205640403305,2024,L8,sitio,cyrusone,dc
302.30825851742617,0.09675995349166645,-0.00777004034149295,2024,L8,sitio,cyrusone,dc
297.4180122019069,0.11031279115581094,-0.011230816801031909,2024,L8,sitio,cyrusone,dc
293.9280175214218,0.11117858802471675,-0.011250930835458833,2024,L8,sitio,cyrusone,dc
287.47633317774824,0.11015091799469968,-0.020825289844423178,2025,L8,sitio,cyrusone,dc
291.1407084828157,0.10469706562442971,-0.008857864667052693,2025,L8,sitio,cyrusone,dc
300.2749278056083,0.09883647935481041,-0.01010843458474678,2025,L8,sitio,cyrusone,dc
300.77904773671065,0.09701265548638954,-0.00519764006760364,2025,L8,sitio,cyrusone,dc
297.87254037142577,0.10564821415403006,-0.005651417501097277,2025,L8,sitio,cyrusone,dc
313.1803903511579,0.08965284297218681,-0.003417447872096488,2025,L8,sitio,cyrusone,dc
317.9000911054365,0.09573228525697111,-0.0034238718285451073,2025,L8,sitio,cyrusone,dc
317.7629665919346,0.09389114552418751,-0.00398080084059758,2025,L8,sitio,cyrusone,dc
313.3814662396953,0.12563543320135653,-0.030772047774632966,2025,L8,sitio,cyrusone,dc
325.14579125511665,0.10225226697198965,-0.004694067085057493,2025,L8,sitio,cyrusone,dc
326.45438548130534,0.09679062512132595,-0.002225711559612523,2025,L8,sitio,cyrusone,dc
323.8096646415884,0.10937228244332586,-0.0014061191002418454,2025,L8,sitio,cyrusone,dc
324.1461411171938,0.09886098286737342,-0.0044172677645027535,2025,L8,sitio,cyrusone,dc
314.93380613754346,0.10877164977800231,-0.008510677007982572,2025,L8,sitio,cyrusone,dc
323.64245511193286,0.10220540222831777,-0.007115197959993695,2025,L8,sitio,cyrusone,dc
306.22610154999353,0.15172018722538794,-0.020713368491875998,2025,L8,sitio,cyrusone,dc
315.7215421281778,0.09433379849763561,-0.003357747138336158,2025,L8,sitio,cyrusone,dc
306.46773261017347,0.09269511830231014,-0.0036749615366227046,2025,L8,sitio,cyrusone,dc
292.1613354598082,0.11132380956310577,-0.013544094471904865,2025,L8,sitio,cyrusone,dc
296.57077907819183,0.11579194649494856,-0.012414876655250694,2025,L8,sitio,cyrusone,dc
