lst,ndvi,ndbi,year,sat,zone,site,trat
288.03624523981614,0.47809451170033035,-0.10617803377130042,2000,L7,outer,google,dc
292.52592951098245,0.4552484677935376,-0.10287892065777268,2000,L7,outer,google,dc
283.10225397673946,0.3925528556277929,-0.09977706501038457,2000,L7,outer,google,dc
277.94366212868294,0.3928475966206164,-0.11234647780532957,2000,L7,outer,google,dc
286.3356045611635,0.4952123279287921,-0.11707136287103102,2001,L7,outer,google,dc
300.8484797310544,0.4191740045587861,-0.10021336096919209,2001,L7,outer,google,dc
295.9022370047483,0.4362750868667999,-0.11050961333118581,2001,L7,outer,google,dc
314.69502138037694,0.38340890549725076,-0.08081292675295348,2001,L7,outer,google,dc
317.6341301477382,0.3743584573788915,-0.07087547335363152,2001,L7,outer,google,dc
318.48341152118576,0.36926955503628756,-0.07024933200252782,2001,L7,outer,google,dc
315.773312000775,0.38277395341526016,-0.07347912933647154,2001,L7,outer,google,dc
310.4724259211187,0.3884405789868952,-0.08153044594166757,2001,L7,outer,google,dc
315.08330635586094,0.3853253953012855,-0.08150236102320534,2001,L7,outer,google,dc
309.80994349751666,0.3907810872442254,-0.08272195487438712,2001,L7,outer,google,dc
312.7201122848458,0.4078191416389751,-0.08730151723490312,2001,L7,outer,google,dc
302.689293401622,0.40326595643181895,-0.08648862685210496,2001,L7,outer,google,dc
302.9187103772074,0.4415490630923761,-0.09848208741314268,2001,L7,outer,google,dc
296.6210991011834,0.46217759410717785,-0.10379200109682071,2001,L7,outer,google,dc
288.7483880002252,0.41446075614909333,-0.10650294311470633,2001,L7,outer,google,dc
286.0202251392115,0.4849114121655563,-0.11777792141915154,2001,L7,outer,google,dc
281.3320537304738,0.3995172345977366,-0.15102915572006914,2002,L7,outer,google,dc
286.33977218761333,0.21825838729717925,-0.03978906466985784,2002,L7,outer,google,dc
293.2708715331144,0.434570769641363,-0.09886729465723397,2002,L7,outer,google,dc
293.31148650135367,0.4286888484389847,-0.10426447302709028,2002,L7,outer,google,dc
297.93226641748885,0.41101666913937007,-0.10586222020172376,2002,L7,outer,google,dc
307.4418744100915,0.4077296607906159,-0.10316426817751453,2002,L7,outer,google,dc
311.2746718200829,0.38511299622878936,-0.08843353988546783,2002,L7,outer,google,dc
311.7856282288682,0.37436890004355317,-0.08075658420256197,2002,L7,outer,google,dc
315.1599671055807,0.3629249960712481,-0.07736712117170251,2002,L7,outer,google,dc
317.12227870752895,0.368879438602039,-0.07506807642735933,2002,L7,outer,google,dc
317.4094382390727,0.31837674688854506,-0.060951191383005095,2002,L7,outer,google,dc
314.259809317148,0.3548189433830866,-0.07825318827342542,2002,L7,outer,google,dc
315.02954560965964,0.3943062851895182,-0.09200286063081084,2002,L7,outer,google,dc
312.73798080627193,0.4047653583799815,-0.08886697639613035,2002,L7,outer,google,dc
298.59697649758243,0.40389614952379643,-0.09186527301436308,2002,L7,outer,google,dc
295.1829258055862,0.4703341689406494,-0.10743119290391008,2002,L7,outer,google,dc
292.29060025292387,0.47801449275296315,-0.11752424720990047,2002,L7,outer,google,dc
290.49975405201945,0.4473123772237176,-0.11078835225716328,2003,L7,outer,google,dc
294.0295035807407,0.436454717157723,-0.10533756232839545,2003,L7,outer,google,dc
299.5868964974397,0.41011213481738923,-0.10097820585331051,2003,L7,outer,google,dc
289.1619693110099,0.3183107393665721,-0.10463684230003435,2003,L7,outer,google,dc
314.1142463907731,0.34266609231897,-0.07398785267406707,2003,L7,outer,google,dc
310.556743132933,0.38411229331913394,-0.08795333271182276,2003,L7,outer,google,dc
317.2205080578515,0.3897298560505118,-0.08876789346459212,2003,L7,outer,google,dc
312.51179483993883,0.40082616104517277,-0.08939498886691082,2003,L7,outer,google,dc
309.40647063778886,0.36189611355938506,-0.0775800656480545,2003,L7,outer,google,dc
308.132200204689,0.41477729840955774,-0.08715187657345094,2003,L7,outer,google,dc
294.4738408099286,0.46569830867860434,-0.1062679530261726,2003,L7,outer,google,dc
290.0564637717565,0.3909693170238359,-0.09680110224833297,2003,L7,outer,google,dc
290.73954194415336,0.47457815315789126,-0.12151945754461972,2003,L7,outer,google,dc
284.252318243734,0.3200744654240766,-0.04082296049059012,2003,L7,outer,google,dc
293.05996195784326,0.4007809870288249,-0.09291904369117425,2004,L7,outer,google,dc
289.09995065269015,0.40368945332159645,-0.09108178960243941,2004,L7,outer,google,dc
293.2944548598966,0.451231429180708,-0.10793674716297116,2004,L7,outer,google,dc
305.1389959603624,0.40347883886280517,-0.10145699494042448,2004,L7,outer,google,dc
306.9625464514742,0.3939584329415406,-0.09427635978568492,2004,L7,outer,google,dc
307.3878355343822,0.36839966665794616,-0.08307421532113145,2004,L7,outer,google,dc
313.10892342793085,0.348055767173765,-0.07270057235323324,2004,L7,outer,google,dc
317.5750090804369,0.36943242064170156,-0.07479259829333988,2004,L7,outer,google,dc
317.56316561867703,0.3287996089193144,-0.06810076849494778,2004,L7,outer,google,dc
317.092291548722,0.3450460033158918,-0.07244827226045214,2004,L7,outer,google,dc
318.46235496128577,0.3508028553269994,-0.074393787949804,2004,L7,outer,google,dc
299.5693618613616,0.22820195239963173,-0.057244827414326925,2004,L7,outer,google,dc
291.885332365129,0.2543359935317539,-0.09054059663236222,2004,L7,outer,google,dc
304.8863465931554,0.42541830010766796,-0.0960512005531285,2004,L7,outer,google,dc
308.86655943528956,0.3539134362387161,-0.07705081811724035,2004,L7,outer,google,dc
296.7975875501139,0.4179315732677196,-0.09983666936383113,2004,L7,outer,google,dc
289.10657585386673,0.46985024996290076,-0.11809199621235081,2004,L7,outer,google,dc
289.71495583018094,0.4833816770356951,-0.12014398625481723,2004,L7,outer,google,dc
284.0288550295243,0.3673672550823835,-0.10000704203514502,2004,L7,outer,google,dc
292.2663143147338,0.3922535858489963,-0.0986421982403339,2005,L7,outer,google,dc
296.7765650643851,0.3842029082971171,-0.10138198532907856,2005,L7,outer,google,dc
300.7105170587247,0.3780639883231153,-0.09480548608142585,2005,L7,outer,google,dc
309.92262049928183,0.36320277333737433,-0.08322282274752335,2005,L7,outer,google,dc
309.6322378369546,0.33540802714993667,-0.0764130177863016,2005,L7,outer,google,dc
302.58431200614325,0.2782118966283294,-0.06771213209451533,2005,L7,outer,google,dc
312.6099616761275,0.3218033093687422,-0.06810249836936173,2005,L7,outer,google,dc
318.5406798052432,0.3109431473554974,-0.06459139721636838,2005,L7,outer,google,dc
318.88140406622864,0.34595145294480734,-0.07215020272822216,2005,L7,outer,google,dc
303.49390081819575,0.39763577688358775,-0.0998122160020446,2005,L7,outer,google,dc
312.5415439870949,0.36722633849533387,-0.08494463501596934,2005,L7,outer,google,dc
309.23878622112204,0.3614928598049887,-0.07765406230340074,2005,L7,outer,google,dc
303.7778744321972,0.3496730246580392,-0.07162286565139872,2005,L7,outer,google,dc
301.1590590111466,0.38548308281782784,-0.08762428130108603,2005,L7,outer,google,dc
285.0170229829526,0.37570158944128074,-0.09508446185407929,2005,L7,outer,google,dc
289.6396883747562,0.3827995989220424,-0.09107970560328013,2005,L7,outer,google,dc
290.6853041795826,0.3757867056556666,-0.08799452682138659,2005,L7,outer,google,dc
291.65581285809566,0.34261001538368824,-0.08078645405488534,2006,L7,outer,google,dc
291.92170465450187,0.3616800030669675,-0.08240698018865689,2006,L7,outer,google,dc
295.5257454365755,0.3735891235066554,-0.08155871503540978,2006,L7,outer,google,dc
296.59724342251883,0.41459032082050423,-0.0821265904483011,2006,L7,outer,google,dc
308.6282093394542,0.3663220827819082,-0.09171325127028544,2006,L7,outer,google,dc
310.2796658758074,0.3394729606976015,-0.07975561719700497,2006,L7,outer,google,dc
316.68033905946606,0.363715870847813,-0.07302991319122419,2006,L7,outer,google,dc
318.4405449019719,0.3840650747577245,-0.07786389487782905,2006,L7,outer,google,dc
308.95591061464046,0.4045641944703221,-0.09157172079086824,2006,L7,outer,google,dc
309.3732867958941,0.37630125402646736,-0.0928388814810294,2006,L7,outer,google,dc
309.002691148786,0.42464364820300116,-0.095850111737634,2006,L7,outer,google,dc
311.0571767495127,0.3203971658888836,-0.09617001314110901,2006,L7,outer,google,dc
303.06581716494117,0.4203327647922468,-0.09428981599313961,2006,L7,outer,google,dc
285.26300973060034,0.45447679336720315,-0.10904029052303772,2006,L7,outer,google,dc
285.5310019682672,0.46818036695739634,-0.11909918609970825,2007,L7,outer,google,dc
286.2749059898291,0.3465013432806889,-0.07478103343138648,2007,L7,outer,google,dc
286.5287895263547,0.3690503341927707,-0.08602462800859609,2007,L7,outer,google,dc
296.47141514355457,0.3311577191142267,-0.07142240681512216,2007,L7,outer,google,dc
306.31016362535127,0.3710488934439163,-0.0887766090049081,2007,L7,outer,google,dc
302.34488037777453,0.3868480129496558,-0.09617185438765145,2007,L7,outer,google,dc
312.23205850849905,0.37952692088234347,-0.07547879399051348,2007,L7,outer,google,dc
306.672059309482,0.3180971138813559,-0.0735327022137136,2007,L7,outer,google,dc
317.07878521973873,0.33600103121252045,-0.06817719024571303,2007,L7,outer,google,dc
319.8668741077738,0.3433493779544078,-0.07045185548829833,2007,L7,outer,google,dc
317.83956763616516,0.35158545692831716,-0.07237118608348189,2007,L7,outer,google,dc
316.9251436606317,0.37358391494327936,-0.07757516077421187,2007,L7,outer,google,dc
317.23551430291195,0.36995027706934314,-0.07880804216256954,2007,L7,outer,google,dc
312.44500171671797,0.37563734350680034,-0.08076430143126112,2007,L7,outer,google,dc
307.6254425033317,0.3674210651152255,-0.07698611065500026,2007,L7,outer,google,dc
302.0821682822613,0.3525875512583546,-0.07651071810361729,2007,L7,outer,google,dc
300.9730741460629,0.3758414755577061,-0.08763599723038114,2007,L7,outer,google,dc
298.582886077101,0.37444541212693155,-0.09123152217476768,2007,L7,outer,google,dc
292.2074566130992,0.4481895230527167,-0.11459001752216826,2007,L7,outer,google,dc
286.4915187839048,0.4769317730718998,-0.11130785263384482,2007,L7,outer,google,dc
286.4874661436742,0.41277915592499603,-0.09720287259654399,2008,L7,outer,google,dc
283.5103185715784,0.4507566461405559,-0.1098119469634677,2008,L7,outer,google,dc
289.9133061864906,0.41605439314996995,-0.09421436395916263,2008,L7,outer,google,dc
302.7824280710712,0.414817267162704,-0.0990920581643798,2008,L7,outer,google,dc
292.9694039985301,0.3064774108934036,-0.1340236862690122,2008,L7,outer,google,dc
307.2644483520878,0.3835169960973317,-0.08834034781012456,2008,L7,outer,google,dc
313.51076420873534,0.3475856234022057,-0.08095087838053218,2008,L7,outer,google,dc
309.2387335024298,0.37471160659623054,-0.08108202170764717,2008,L7,outer,google,dc
314.10870096206014,0.3714349528767572,-0.07666126576146323,2008,L7,outer,google,dc
317.14549177724774,0.3400385314928146,-0.06072066247314609,2008,L7,outer,google,dc
315.5752564303012,0.3918396336907102,-0.0819023946696829,2008,L7,outer,google,dc
308.8606505273649,0.422266148091609,-0.08848102564572301,2008,L7,outer,google,dc
311.6516464560096,0.3659575008374441,-0.08440027377085053,2008,L7,outer,google,dc
308.55024375017314,0.396023786960586,-0.08672205438799148,2008,L7,outer,google,dc
300.0221460301875,0.422266772948196,-0.09480575521902838,2008,L7,outer,google,dc
297.3394645122273,0.41546417614382425,-0.09566925478150068,2008,L7,outer,google,dc
290.863946786793,0.46023252171738843,-0.10751839274296932,2008,L7,outer,google,dc
285.7086107257178,0.46125274702849256,-0.11663872861332898,2008,L7,outer,google,dc
285.4177053595485,0.4468027685710047,-0.10485332296423712,2009,L7,outer,google,dc
291.2096516024142,0.4118000583034991,-0.09475446301581353,2009,L7,outer,google,dc
